Title,Original U.S. theatrical release date[rls 1],Other Theatrical Release Date,Animation studio[st 2],CoCredit,Released By,Film Type,Live-action / Animation hybrid,"Not produced by Disney, but released under its label.",US Release Exceptions,Released under the Touchstone Pictures label,Released by Disney outside North America,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,Release Note
Frozen II,11/22/2019,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Spies in Disguise,12/25/2019,,"20th Century Fox Animation, Blue Sky Studios and Chernin Entertainment",,Released by 20th Century Fox/20th Century Studios,Animation,,"Not produced by Disney, but released under its label.",,,,,
Onward,3/6/2020,,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Soul,12/25/2020,12/25/2020,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,No Theatrical US Release,,,,
Raya and the Last Dragon,3/5/2021,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Luca,6/18/2021,6/18/2021,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,No Theatrical US Release,,,,
Ron's Gone Wrong,10/22/2021,,"20th Century Animation, TSG Entertainment, Locksmith Animation and DNEG", Walt Disney Pictures,Released by 20th Century Fox/20th Century Studios,Animation,,,,,,,
Encanto,11/24/2021,,Walt Disney Animation Studios (1937 - Present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,,,,,
Turning Red,3/11/2022,3/11/2022,Pixar Animation Studios (1995–present), Walt Disney Pictures,Walt Disney Studios Motion Pictures ,Animation,,,No Theatrical US Release,,,,
Tom and Jerry: The Movie,7/30/1993,,Turner Entertainment / WMG Film / Wang Film Productions / Film Roman,,,,,,,,,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,"Original date of release was October 1, 1992"
The Thief and the Cobbler (Arabian Knight),8/25/1995,,Richard Williams Productions / Fred Calvert Productions / Allied Filmmakers,,,,,,,,,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,"Original date of release was May 15, 1992"
Princess Mononoke,10/29/1999,,"Studio Ghibli / Toho Co., Ltd.",,,,,,,,,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,"Original date of release was July 12, 1997"
Pokémon 4Ever,10/11/2002,,"The Pokémon Company / Shogakukan / OLM, Inc. / 4Kids Entertainment / Toho Co., Ltd.",,,,,,,,,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,"Original date of release was July 7, 2001"
Pokémon Heroes,5/16/2003,,"The Pokémon Company / Shogakukan / OLM, Inc. / 4Kids Entertainment / Toho Co., Ltd.",,,,,,,,,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release. ,"Original date of release was July 13, 2002"
Pokémon: Jirachi Wish Maker,6/1/2004,,"The Pokémon Company / Shogakukan / 4Kids Entertainment / OLM, Inc. / Toho Co., Ltd.",,,,,,,,,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,"Original date of release was July 19, 2003"
Pokémon: Destiny Deoxys,1/22/2005,,"The Pokémon Company / Shogakukan / 4Kids Entertainment / OLM, Inc. / Toho Co., Ltd. ",,,,,,,,,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,"Original date of release was July 17, 2004"
Paris 2054: Renaissance,3/15/2006,,Onyx Films / Millimages / LuxAnimation / Timefirm Limited / France 2 Cinéma,,,,,,,,,Released by Miramax Films when the studio was a subsidiary of Disney at the time of release,
