,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres
38573,tt0923612,movie,Beauty and the Beast: A Latter-Day Tale,2007,91,"Drama,Romance"
38577,tt2316801,movie,Beauty and the Beast,2014,112,"Drama,Family,Fantasy"
38582,tt0092298,movie,Zone Troopers,1985,86,"Action,Adventure,Sci-Fi"
38583,tt0096466,movie,The Wrong Guys,1988,86,Comedy
38620,tt3116386,movie,Lusitania,\N,\N,Mystery
38690,tt11655566,movie,Lilo & Stitch,2024,85,"Action,Adventure,Comedy"
38691,tt13530314,movie,Storybook Ending,\N,\N,Fantasy
38709,tt0095792,movie,Options,1989,92,"Adventure,Comedy"
38712,tt0129387,movie,There's Something About Mary,1998,119,"Comedy,Romance"
38715,tt0376108,movie,Rebound,2005,86,"Comedy,Family,Sport"
38732,tt0972358,movie,Area 52,\N,\N,"Action,Adventure,Sci-Fi"
38808,tt0012881,movie,The Adventures of Robinson Crusoe,1922,360,Adventure
38809,tt0038888,movie,Robinson Crusoe,1947,73,"Adventure,Drama"
38810,tt0044386,movie,Robinson Crusoe,1954,90,"Adventure,Drama,Family"
38811,tt0047240,movie,Miss Robin Crusoe,1953,75,"Adventure,Comedy"
38812,tt0058905,movie,The Amorous Adventures of Moll Flanders,1965,126,"Comedy,Romance"
38813,tt0064900,movie,Robinson Crusoe,1970,110,"Adventure,Drama,Family"
38815,tt0069541,movie,Robinson Crusoe,1973,92,Adventure
38817,tt0074849,movie,Man Friday,1975,115,"Adventure,Drama"
38818,tt0076403,movie,Sex in Sweden,1977,96,"Adult,Drama"
38819,tt0077195,movie,The Year of the Plague,1979,109,"Drama,Sci-Fi,Thriller"
38820,tt0094923,movie,Crusoe,1988,91,"Adventure,Drama"
38821,tt0117071,movie,Moll Flanders,1996,123,"Drama,Romance"
38822,tt0117496,movie,Robinson Crusoe,1997,105,"Adventure,Drama"
38823,tt0158901,movie,Robinson Crusoe,1916,\N,Adventure
38824,tt0196057,movie,Robinson Crusoe,1927,65,Adventure
38828,tt0260715,movie,As Aventuras de Robinson Crusoé,1978,90,"Comedy,Family"
38829,tt0330830,movie,Robinson et compagnie,1991,70,Animation
38832,tt0384923,movie,"Adventures of Robinson Crusoe, a Sailor from York",1982,68,Animation
38833,tt0491317,movie,Les aventures de Robinson Crusoë,1922,\N,"Adventure,Drama"
38836,tt0884832,movie,Robinson Crusoe,1974,88,"Adventure,Animation,Comedy"
38841,tt1252576,movie,Robinson y Viernes en la isla encantada,1973,95,Adventure
38853,tt4731008,movie,The Wild Life,2016,91,"Adventure,Animation,Comedy"
38856,tt0105052,movie,On My Own,1991,92,Drama
38858,tt0358273,movie,Walk the Line,2005,136,"Biography,Drama,Music"
38859,tt2555652,movie,Forever,2015,94,Drama
38860,tt0192731,movie,Urban Legends: Final Cut,2000,97,"Horror,Mystery"
38861,tt0382357,movie,Land of Plenty,2004,123,"Drama,War"
38862,tt0804463,movie,Devil's Knot,2013,114,"Biography,Crime,Drama"
38863,tt2265890,movie,Deus Ex: Human Revolution,\N,\N,Sci-Fi
38864,tt2752772,movie,Sinister 2,2015,97,"Horror,Mystery,Thriller"
38865,tt0245891,movie,Extremedays,2001,93,"Action,Adventure,Comedy"
38866,tt0324562,movie,Williams Syndrome: A Highly Musical Species,1996,58,"Documentary,Music"
38867,tt2877190,movie,The Maestro,\N,\N,"Adventure,Comedy"
38868,tt0118696,movie,Below Utopia,1997,88,"Drama,Thriller"
38869,tt0218967,movie,The Family Man,2000,125,"Comedy,Drama,Fantasy"
38870,tt0251075,movie,Evolution,2001,101,"Comedy,Sci-Fi"
38873,tt1185416,movie,When in Rome,2010,91,"Comedy,Romance"
38874,tt15044226,movie,Immigrants,\N,\N,Drama
38875,tt5655570,movie,Paternity Leave,\N,\N,Comedy
38876,tt6710508,movie,Piano Lessons,\N,\N,Drama
38885,tt1076967,movie,The Damned,\N,\N,Action
38886,tt1355626,movie,Daemon,\N,\N,Thriller
38888,tt4487288,movie,The Stars My Destination,\N,\N,Sci-Fi
38889,tt6604188,movie,Tron 3,2025,\N,"Action,Adventure,Sci-Fi"
38919,tt0119632,movie,The MatchMaker,1997,97,"Comedy,Romance"
38931,tt0181947,movie,Three Giant Men,1973,81,"Action,Crime,Sci-Fi"
39044,tt0948470,movie,The Amazing Spider-Man,2012,136,"Action,Adventure,Sci-Fi"
39046,tt10443172,movie,Spider-Man: Identity,2019,48,Action
39050,tt10872600,movie,Spider-Man: No Way Home,2021,148,"Action,Adventure,Fantasy"
39079,tt12767902,movie,Spider-Man 4 Fan Film,2021,70,"Action,Animation"
39106,tt2803854,movie,Spider Man: Lost Cause,2014,140,"Action,Adventure,Comedy"
39113,tt3402242,movie,The Sinister Six,\N,\N,"Action,Adventure,Crime"
39115,tt4321248,movie,The Avenging Spider-Man,2015,48,"Action,Sci-Fi,Thriller"
39118,tt4779842,movie,Marvel Knights: Spider-Man,2015,65,Sci-Fi
39120,tt6320628,movie,Spider-Man: Far from Home,2019,129,"Action,Adventure,Sci-Fi"
39124,tt7139500,movie,Web of Spider-Man,\N,\N,"Action,Sci-Fi"
39165,tt8790086,movie,Kraven the Hunter,2023,\N,"Action,Adventure,Sci-Fi"
39168,tt9765564,movie,Spider-Man 4: Fan Film,2021,\N,"Action,Adventure,Drama"
39169,tt0084296,movie,The Man from Snowy River,1982,102,"Adventure,Drama,Romance"
39170,tt0092666,movie,Blind Date,1987,95,"Comedy,Romance"
39171,tt0097790,movie,Loverboy,1989,98,Comedy
39172,tt0107438,movie,Look Who's Talking Now,1993,96,"Comedy,Family,Romance"
39173,tt0120318,movie,That Old Feeling,1997,105,"Comedy,Romance"
39174,tt0155267,movie,The Thomas Crown Affair,1999,113,"Crime,Romance,Thriller"
39175,tt0223897,movie,Pay It Forward,2000,123,Drama
39176,tt0408839,movie,The Heartbreak Kid,2007,116,"Comedy,Romance"
39178,tt1219289,movie,Limitless,2011,105,"Sci-Fi,Thriller"
39179,tt1563742,movie,Overboard,2018,112,"Comedy,Romance"
39204,tt0004121,movie,Der Hund von Baskerville,1914,65,"Crime,Horror,Mystery"
39205,tt0004651,movie,A Study in Scarlet,1914,\N,"Drama,Mystery"
39206,tt0005513,movie,"Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer",1916,\N,"Crime,Horror,Mystery"
39207,tt0005514,movie,"Der Hund von Baskerville, 4. Teil",1916,\N,"Crime,Horror,Mystery"
39208,tt0006467,movie,Brigadier Gerard,1915,50,"Drama,History"
39209,tt0007338,movie,Sherlock Holmes,1916,116,Mystery
39210,tt0011309,movie,The Hound of the Baskervilles,1921,\N,"Crime,Horror,Mystery"
39211,tt0011318,movie,Der Hund von Baskerville - 6. Teil: Das Haus ohne Fenster,1920,157,"Horror,Mystery"
39212,tt0011907,movie,The Adventures of Sherlock Holmes,1921,\N,"Drama,Mystery"
39213,tt0013597,movie,Sherlock Holmes,1922,85,"Drama,Mystery"
39214,tt0014468,movie,The Sign of Four,1923,83,"Crime,Drama,Mystery"
39215,tt0016039,movie,The Lost World,1925,110,"Adventure,Fantasy,Sci-Fi"
39216,tt0017877,movie,The Fighting Eagle,1927,70,"Drama,Romance"
39217,tt0020007,movie,Der Hund von Baskerville,1929,65,"Crime,Horror,Mystery"
39218,tt0020324,movie,The Return of Sherlock Holmes,1929,71,Mystery
39219,tt0021977,movie,The Hound of the Baskervilles,1931,72,"Crime,Horror,Mystery"
39220,tt0022373,movie,Sherlock Holmes' Fatal Hour,1931,84,"Crime,Mystery"
39221,tt0022418,movie,The Speckled Band,1931,90,"Crime,Drama,Mystery"
39222,tt0023150,movie,The Lost Special,1932,240,"Action,Adventure,Drama"
39223,tt0023231,movie,Sherlock Holmes and the Missing Rembrandt,1932,84,"Drama,Mystery"
39224,tt0023460,movie,Sherlock Holmes,1932,68,Drama
39225,tt0023469,movie,The Sign of Four: Sherlock Holmes' Greatest Case,1932,75,"Crime,Drama,Mystery"
39226,tt0024014,movie,Fires of Fate,1932,74,Adventure
39227,tt0024625,movie,A Study in Scarlet,1933,72,"Mystery,Thriller"
39228,tt0025759,movie,The Secret of the Loch,1934,78,"Adventure,Comedy,Fantasy"
39229,tt0027136,movie,The Triumph of Sherlock Holmes,1935,84,"Crime,Mystery,Thriller"
39230,tt0027770,movie,The Hound of the Baskervilles,1937,82,"Crime,Drama,Horror"
39231,tt0029565,movie,Murder at the Baskervilles,1937,71,"Crime,Mystery"
39232,tt0031448,movie,The Hound of the Baskervilles,1939,80,"Horror,Mystery,Thriller"
39233,tt0035317,movie,Sherlock Holmes and the Secret Weapon,1942,68,"Adventure,Crime,Drama"
39234,tt0035318,movie,Sherlock Holmes and the Voice of Terror,1942,65,"Crime,Mystery,Thriller"
39235,tt0036348,movie,Sherlock Holmes Faces Death,1943,68,"Crime,Mystery,Romance"
39236,tt0036349,movie,Sherlock Holmes in Washington,1943,71,"Mystery,Thriller,War"
39237,tt0037168,movie,The Pearl of Death,1944,69,"Crime,Drama,Mystery"
39238,tt0037248,movie,The Scarlet Claw,1944,74,"Crime,Mystery,Thriller"
39239,tt0037303,movie,The Spider Woman,1943,63,"Mystery,Thriller"
39240,tt0037794,movie,The House of Fear,1945,69,"Crime,Film-Noir,Mystery"
39241,tt0038008,movie,Pursuit to Algiers,1945,65,"Adventure,Crime,Mystery"
39242,tt0038259,movie,The Woman in Green,1945,68,"Drama,Mystery"
39243,tt0038494,movie,Dressed to Kill,1946,76,"Crime,Mystery"
39244,tt0039017,movie,Terror by Night,1946,60,"Crime,Drama,Film-Noir"
39245,tt0052905,movie,The Hound of the Baskervilles,1959,87,"Horror,Mystery"
39246,tt0054038,movie,The Lost World,1960,97,"Adventure,Fantasy,Sci-Fi"
39247,tt0056480,movie,Sherlock Holmes and the Deadly Necklace,1962,87,"Crime,Drama,Mystery"
39248,tt0059764,movie,A Study in Terror,1965,95,"Crime,Mystery,Thriller"
39255,tt0065375,movie,The Adventures of Gerard,1970,92,"Adventure,Comedy,History"
39256,tt0066249,movie,The Private Life of Sherlock Holmes,1970,125,"Adventure,Comedy,Crime"
39258,tt0072608,movie,The Adventure of Sherlock Holmes' Smarter Brother,1975,91,"Comedy,Crime,Music"
39259,tt0075194,movie,The Seven-Per-Cent Solution,1976,113,"Adventure,Crime,Drama"
39261,tt0076161,movie,The Hound of the Baskervilles,1978,85,"Comedy,Crime,Horror"
39262,tt0079592,movie,Murder by Decree,1979,124,"Crime,Mystery,Thriller"
39268,tt0090357,movie,Young Sherlock Holmes,1985,109,"Adventure,Fantasy,Mystery"
39272,tt0100740,movie,Tales from the Darkside: The Movie,1990,93,"Comedy,Fantasy,Horror"
39275,tt0102905,movie,Sherlock Holmes en Caracas,1991,90,Comedy
39278,tt0104759,movie,The Lost World,1992,99,"Adventure,Fantasy,Sci-Fi"
39281,tt0138581,movie,The Lost World,1998,97,"Adventure,Sci-Fi"
39282,tt0138882,movie,Touha Sherlocka Holmese,1971,97,"Comedy,Crime"
39284,tt0165447,movie,Rodney Stone,1920,\N,"Drama,Sport"
39285,tt0171928,movie,The Xango from Baker Street,2001,124,"Comedy,Crime"
39311,tt0201908,movie,A Scandal in Bohemia,1921,70,"Crime,Drama,Mystery"
39319,tt0214692,movie,Fires of Fate,1923,\N,Adventure
39328,tt0231824,movie,Jighansa,1951,112,"Drama,Mystery,Thriller"
39329,tt0238595,movie,Sherlock Holmes and a Study in Scarlet,1983,50,"Animation,Family,Mystery"
39330,tt0238596,movie,Sherlock Holmes and the Sign of Four,1983,50,"Animation,Crime,Family"
39331,tt0238597,movie,Sherlock Holmes and the Valley of Fear,1983,50,"Animation,Family,Mystery"
39333,tt0244458,movie,Charles Augustus Milverton,1922,\N,"Crime,Drama,Mystery"
39361,tt0321859,movie,The Croxley Master,1921,\N,"Drama,Romance"
39362,tt0322123,movie,The Earthquake Motor,1917,80,"Action,Crime"
39364,tt0325384,movie,The Firm of Girdlestone,1915,\N,"Crime,Drama"
39366,tt0326954,movie,The House of Temperley,1913,50,Drama
39370,tt0346082,movie,Uncle Bernac,1921,\N,\N
39371,tt0348304,movie,The Valley of Fear,1916,108,"Adventure,Crime"
39385,tt0440486,movie,Der Hund von Baskerville - 5 Teil: Dr. Macdonalds Sanatorium,1920,\N,Crime
39388,tt0460246,movie,Die Kassette,1917,72,"Action,Crime,Mystery"
39389,tt0460282,movie,Der Schlangenring,1918,\N,Crime
39390,tt0460344,movie,Was er im Spiegel sah,1918,\N,\N
39392,tt0478188,movie,King of the Lost World,2005,80,"Action,Adventure,Fantasy"
39394,tt0497997,movie,The Veteran of Waterloo,1933,48,Drama
39644,tt11271378,movie,An den Ersten Staatsanwalt,1919,\N,"Crime,Mystery"
39645,tt11271814,movie,"Brockhaus, Band dreizehn",1918,72,"Crime,Mystery"
39646,tt11272014,movie,Echte Perlen,1919,\N,"Action,Crime,Mystery"
39647,tt11272030,movie,Die Dose des Kardinals,1919,\N,"Action,Crime,Mystery"
39648,tt11272080,movie,Die Giftplombe,1918,\N,"Action,Crime,Mystery"
39652,tt1163741,movie,Arsène Lupin contra Sherlock Holmes,1910,92,"Drama,Mystery"
39665,tt1255919,movie,Holmes & Watson,2018,90,"Comedy,Crime,Mystery"
39701,tt14414730,movie,Voice of Land,2021,\N,Documentary
39731,tt2094116,movie,Sherlock Holmes 3,\N,\N,"Action,Adventure,Mystery"
39733,tt2108535,movie,Holmes & Watson. Madrid Days,2012,129,"Drama,Mystery,Thriller"
39735,tt2127370,movie,The Reigate Squires,1912,50,Mystery
39741,tt2531030,movie,Young Sherlock Holmes,\N,109,"Adventure,Family,Mystery"
39765,tt3433336,movie,Sherlock Holmes and the Tesla Star,\N,\N,Mystery
39779,tt3853386,movie,Sherlock Holmes vs. Frankenstein,\N,123,"Adventure,Horror,Mystery"
39793,tt5344258,movie,Sherlock Holmes Begins: A Study in Scarlet,\N,\N,Mystery
39818,tt6270288,movie,Bobaka Saskerviley,1998,65,"Comedy,Mystery"
39833,tt7786428,movie,Der Wüstendiamant,1918,\N,Crime
39834,tt7846844,movie,Enola Holmes,2020,123,"Action,Adventure,Crime"
39850,tt8793752,movie,Hardcastle,\N,\N,Horror
39974,tt0002767,movie,The Count of Monte Cristo,1913,69,"Drama,History"
39975,tt0002785,movie,La dame de Monsoreau,1913,\N,\N
39976,tt0004525,movie,The Reign of Terror,1914,109,"Drama,History"
39977,tt0004696,movie,The Three Musketeers,1914,\N,Drama
39979,tt0005938,movie,Queen Margaret,1914,\N,"Drama,History"
39980,tt0006896,movie,The King's Daughter,1916,\N,Drama
39981,tt0007454,movie,The Three Musketeers,1916,63,Adventure
39982,tt0008241,movie,Madame Du Barry,1917,105,"Drama,History"
39983,tt0010022,movie,The Corsican Brothers,1920,60,"Action,Drama,Romance"
39984,tt0012344,movie,Kean,1921,\N,\N
39985,tt0012645,movie,Mad Love,1921,82,Drama
39986,tt0012752,movie,The Three Musketeers,1921,119,"Action,Adventure,Family"
39987,tt0013402,movie,Monte Cristo,1922,100,"Drama,Romance"
39988,tt0013633,movie,A Stage Romance,1922,70,"Biography,Drama"
39989,tt0013674,movie,The Three Must-Get-Theres,1922,58,"Action,Adventure,Comedy"
39990,tt0013736,movie,Vingt ans après,1922,\N,History
39991,tt0015036,movie,Edmund Kean: Prince Among Lovers,1924,136,Drama
39992,tt0017771,movie,El conde de Maravillas,1927,\N,"Drama,History"
39993,tt0020030,movie,The Iron Mask,1929,95,"Adventure,Drama,History"
39994,tt0020071,movie,Die Königsloge,1929,76,"Biography,Drama,Romance"
39995,tt0020139,movie,"Der Mann, der nicht liebt",1929,\N,\N
39996,tt0020182,movie,Monte Cristo,1929,223,Adventure
39997,tt0024663,movie,The Three Musketeers,1933,210,"Action,Adventure,Drama"
39998,tt0024700,movie,Three Musketeers,1932,246,"Action,Adventure,Drama"
39999,tt0025004,movie,The Count of Monte Cristo,1934,113,"Action,Adventure,Drama"
40000,tt0027099,movie,The Three Musketeers,1935,96,"Action,Adventure,Romance"
40001,tt0028636,movie,The Black Tulip,1937,57,Drama
40002,tt0031262,movie,Le educande di Saint-Cyr,1939,88,\N
40003,tt0031619,movie,The Man in the Iron Mask,1939,113,"Adventure,History,Romance"
40004,tt0032661,movie,Kean,1940,78,Drama
40005,tt0033076,movie,The Son of Monte Cristo,1940,102,Drama
40006,tt0033490,movie,The Corsican Brothers,1941,111,Adventure
40007,tt0035000,movie,Luisa Sanfelice,1942,75,Drama
40008,tt0035752,movie,The Count of Monte Cristo,1943,90,"Adventure,Drama"
40009,tt0037585,movie,Knights of the Queen,1954,79,Adventure
40010,tt0037698,movie,The Fighting Guardsman,1946,84,"Action,Adventure,Drama"
40011,tt0039106,movie,The Wife of Monte Cristo,1946,83,"Adventure,Drama,Romance"
40012,tt0040876,movie,The Three Musketeers,1948,125,"Action,Adventure,Drama"
40013,tt0041182,movie,Black Magic,1949,105,"Drama,Mystery,Romance"
40014,tt0043790,movie,Mask of the Avenger,1951,83,"Adventure,Drama,History"
40016,tt0044094,movie,The Sword of Monte Cristo,1951,80,"Adventure,Romance"
40017,tt0044433,movie,The Executioner of Lille,1952,86,"Action,Adventure,Drama"
40018,tt0044449,movie,The Brigand,1952,94,"Adventure,Romance"
40019,tt0044818,movie,Lady in the Iron Mask,1952,78,Adventure
40020,tt0045613,movie,Il cavaliere di Maison Rouge,1954,105,"Adventure,History"
40021,tt0046461,movie,The Three Musketeers,1953,116,Adventure
40022,tt0047078,movie,The Corsican Brothers,1955,94,Adventure
40023,tt0047364,movie,Il prigioniero del re,1954,88,"Action,Adventure,Drama"
40024,tt0047401,movie,Queen Margot,1954,106,Drama
40025,tt0047597,movie,Tower of Nesle,1955,120,"Drama,History"
40026,tt0047659,movie,Count of Bragelonne,1954,95,"Adventure,Drama,Romance"
40027,tt0047661,movie,The Count of Monte Cristo,1954,90,"Comedy,Fantasy,Musical"
40028,tt0049399,movie,Kean: Genius or Scoundrel,1957,83,"Biography,Drama"
40029,tt0049880,movie,Three and a Half Musketeers,1957,100,"Comedy,Fantasy"
40030,tt0054761,movie,The Story of the Count of Monte Cristo,1961,180,"Action,Adventure,Drama"
40031,tt0055548,movie,Vengeance of the Three Musketeers,1961,91,"Adventure,Romance"
40032,tt0055549,movie,The Three Musketeers: Part I - The Queen's Diamonds,1961,102,"Adventure,History,Romance"
40033,tt0056228,movie,Le masque de fer,1962,127,Adventure
40034,tt0058692,movie,The Black Tulip,1964,115,"Action,Adventure,Comedy"
40035,tt0060916,movie,Rose rosse per Angelica,1966,110,Adventure
40036,tt0063724,movie,Der Turm der verbotenen Liebe,1968,89,"Adventure,Drama"
40037,tt0064569,movie,Emma Hamilton,1968,100,"Drama,History,Romance"
40038,tt0067739,movie,The Sex Adventures of the Three Musketeers,1971,81,Comedy
40039,tt0072052,movie,The Four Charlots Musketeers,1974,110,"Adventure,Comedy"
40040,tt0072281,movie,The Three Musketeers,1973,106,"Action,Adventure"
40042,tt0073012,movie,The Four Musketeers: Milady's Revenge,1974,108,"Adventure,History"
40044,tt0085858,movie,The Crazy Story of the Three Musketeers,1983,87,Comedy
40046,tt0098194,movie,The Return of the Musketeers,1989,102,"Action,Adventure,Comedy"
40047,tt0110963,movie,Queen Margot,1994,159,"Biography,Drama,History"
40048,tt0111493,movie,Three Hundred Years After,1994,92,Comedy
40049,tt0123307,movie,The Three Musketeers,1945,\N,Adventure
40051,tt0127464,movie,Black Tulip,1988,49,"Adventure,Animation"
40052,tt0133949,movie,The Man in the Iron Mask,1923,112,"Adventure,Drama"
40053,tt0137437,movie,The Count of Monte Cristo,1953,102,"Adventure,History"
40054,tt0139222,movie,The Corsican Brothers,1961,85,Action
40055,tt0141574,movie,The Face of Alexandre Dumas: The Man in the Iron Mask,1998,85,Adventure
40056,tt0142193,movie,The Corsican Brothers,1989,49,"Adventure,Animation"
40057,tt0142302,movie,The Corsican Brothers,1917,\N,\N
40058,tt0143946,movie,La tour de Nesle,1937,95,History
40060,tt0149244,movie,The Secret of Queen Anne or Musketeers Thirty Years After,1994,158,"Action,History"
40061,tt0159126,movie,Where Is My Father?,1916,\N,Drama
40062,tt0162020,movie,The Three Musketeers,1942,136,"Adventure,Comedy"
40064,tt0169924,movie,Frères corses,1939,81,\N
40065,tt0174227,movie,The Return of Monte Cristo,1968,90,Adventure
40067,tt0178759,movie,A Modern Monte Cristo,1917,56,Drama
40068,tt0187135,movie,"Henry, King of Navarre",1924,\N,"Drama,History"
40069,tt0191016,movie,Le brigand gentilhomme,1943,98,Adventure
40070,tt0193328,movie,I Mohicani di Parigi,1917,\N,Adventure
40071,tt0193566,movie,Todos Por Um,1950,\N,"Comedy,Musical"
40072,tt0193856,movie,La dame de Monsoreau,1923,\N,\N
40073,tt0194682,movie,The King's Musketeers,1957,90,"Adventure,Drama"
40074,tt0198377,movie,The Queen's Necklace,1929,\N,"Biography,Drama,History"
40075,tt0198558,movie,Le imprese di una spada leggendaria,1958,\N,Adventure
40076,tt0198713,movie,Mantelli e spade insanguinate,1959,\N,Drama
40077,tt0206366,movie,Les trois mousquetaires,1974,68,"Adventure,Animation,Family"
40079,tt0211675,movie,I tre moschettieri,1909,\N,\N
40080,tt0215023,movie,Padayottam,1982,\N,"Action,Drama,Thriller"
40083,tt0217547,movie,El hombre de la máscara de hierro,1943,116,"Adventure,Drama"
40085,tt0218867,movie,Camino de Sacramento,1946,95,"Adventure,Drama"
40088,tt0245844,movie,The Count of Monte Cristo,2002,131,"Action,Adventure,Drama"
40089,tt0246544,movie,The Musketeer,2001,104,"Action,Adventure,Romance"
40090,tt0253988,movie,De zwarte tulp,1921,72,Adventure
40091,tt0256531,movie,Young Blades,2001,92,"Action,Adventure"
40092,tt0258903,movie,The Four Musketeers,1934,\N,Comedy
40096,tt0259688,movie,The Three Musketeers,1912,\N,\N
40097,tt0270901,movie,Cuatro contra el imperio,1957,95,"Adventure,Drama"
40098,tt0271359,movie,Soul of Steel,1957,\N,"Crime,Drama,Western"
40099,tt0288035,movie,The Way to the Sun,1965,100,Drama
40100,tt0299179,movie,The Three Muscatels,1991,90,Comedy
40102,tt0310632,movie,The Count of Monte Cristo,1950,165,"Action,Adventure,Crime"
40103,tt0330285,movie,Das Fest der schwarzen Tulpe,1920,82,Drama
40107,tt0352992,movie,A Promise of Love,1955,\N,"Drama,Romance"
40123,tt0452053,movie,La spada imbattibile,1957,83,Adventure
40124,tt0454427,movie,Les Charlots en folie: À nous quatre Cardinal!,1974,105,"Adventure,Comedy"
40126,tt0480971,movie,Chicot the Jester,1913,\N,\N
40128,tt0486728,movie,The Three Musketeers,2005,70,Animation
40175,tt0765251,movie,Die Tochter des Brigadiers,1922,78,Drama
40189,tt0943469,movie,Paolina,1915,\N,\N
40191,tt10061426,movie,Three Musketeers,\N,\N,"Action,Adventure,Fantasy"
40199,tt1063120,movie,The Three Musketeers,1918,\N,\N
40201,tt1104767,movie,The Count of Monte Cristo - Part 2: Retribution,1943,90,"Adventure,Drama,History"
40202,tt11225092,movie,Eqaab,2006,137,Drama
40205,tt1172640,movie,Hermann,1920,\N,Drama
40206,tt11777920,movie,Dogtanian and the Three Muskehounds,2021,84,"Animation,Romance"
40208,tt1206018,movie,Kean (Genio e sregolatezza),1916,\N,\N
40210,tt12176478,movie,Monte Cristo Musical,2019,132,Musical
40211,tt1245543,movie,The Three Musketeers,\N,\N,"Action,Drama"
40229,tt12672536,movie,The Three Musketeers: D'Artagnan,2023,\N,Adventure
40230,tt12672620,movie,The Three Musketeers: Milady,2023,\N,Adventure
40307,tt1309655,movie,La torre di Nesle,1925,\N,Drama
40309,tt13298942,movie,Le comte de Monte-Cristo: 1ère époque 'La trahison',1955,99,\N
40310,tt13298950,movie,Le comte de Monte-Cristo: 2ème époque 'La vengeance',1955,89,\N
40327,tt1370439,movie,"The Return of the Musketeers, or The Treasures of Cardinal Mazarin",2009,134,"Action,Adventure,Comedy"
40333,tt1411974,movie,The Three Musketeers,1960,\N,Comedy
40342,tt14852752,movie,La tour de Nesle,2021,112,"Drama,History"
40346,tt14949634,movie,Toutes pour une,\N,\N,Adventure
40348,tt1509767,movie,The Three Musketeers,2011,110,"Action,Adventure,Fantasy"
40351,tt16369754,movie,La dame aux camélias,2017,105,Music
40352,tt1657877,movie,Die Totenhand,1921,\N,\N
40389,tt1981621,movie,Cristo,\N,\N,"Adventure,Sci-Fi"
40411,tt2788532,movie,The Count of Monte Cristo,\N,\N,"Action,Adventure"
40442,tt3274666,movie,The Three Musketeers,2013,112,Adventure
40450,tt3534078,movie,The Three Musketeers,2008,77,"Adventure,Animation,Family"
40651,tt5779468,movie,Count,\N,\N,"Action,Adventure"
41444,tt16376512,movie,Free Chol Soo Lee,2022,83,Documentary
41445,tt9185340,movie,Night of the Comet,\N,\N,"Horror,Sci-Fi"
41446,tt0117102,movie,Mr. Wrong,1996,96,Comedy
41640,tt1446113,movie,My Movie Girl,2016,83,"Comedy,Romance"
41655,tt0068934,movie,Melinda,1972,109,"Action,Crime,Drama"
41656,tt0082121,movie,Bustin' Loose,1981,94,"Comedy,Drama"
41665,tt0097758,movie,Little Monsters,1989,100,"Adventure,Comedy,Family"
41666,tt0111003,movie,The Puppet Masters,1994,109,"Horror,Sci-Fi,Thriller"
41667,tt0120685,movie,Godzilla,1998,139,"Action,Sci-Fi,Thriller"
41668,tt0122718,movie,Small Soldiers,1998,108,"Action,Adventure,Comedy"
41669,tt0138749,movie,The Road to El Dorado,2000,89,"Adventure,Animation,Comedy"
41676,tt3070936,movie,Shrek the Musical,2013,130,"Comedy,Family,Fantasy"
41678,tt6977888,movie,Captain Jokes Parrot's Finding the Lost Atlantis,\N,\N,"Adventure,Comedy,Family"
41679,tt9334162,movie,Shrek Retold,2018,90,"Adventure,Animation,Comedy"
41718,tt0041643,movie,Massacre River,1949,78,Western
41719,tt0042278,movie,The Boy from Indiana,1950,66,"Drama,Romance,Sport"
41720,tt0045687,movie,The Diamond Queen,1953,80,"Adventure,Romance"
41725,tt0120820,movie,Senseless,1998,93,"Comedy,Romance"
41726,tt1212984,movie,The Return of King Doug,\N,\N,Comedy
41728,tt3905908,movie,Cryptozoologists,\N,\N,\N
41729,tt4199898,movie,Playmobil: The Movie,2019,99,"Adventure,Animation,Comedy"
41730,tt4304858,movie,Ed Terrestrial,\N,\N,"Adventure,Family"
41731,tt4357688,movie,The Naughty List,\N,\N,Comedy
41732,tt4357692,movie,Ninja vs. Samurai,\N,\N,Animation
41733,tt7099306,movie,Sky High,\N,\N,Adventure
41734,tt0079520,movie,"A Man, a Woman and a Bank",1979,100,"Comedy,Crime"
41735,tt0088172,movie,Starman,1984,115,"Romance,Sci-Fi"
41736,tt0092005,movie,Stand by Me,1986,89,"Adventure,Drama"
41737,tt0093467,movie,Made in Heaven,1987,103,"Comedy,Fantasy,Romance"
41738,tt0112760,movie,Cutthroat Island,1995,124,"Action,Adventure,Comedy"
41740,tt5603512,movie,Starman,\N,\N,"Adventure,Drama,Romance"
41741,tt0096161,movie,Split Decisions,1988,95,"Action,Drama,Sport"
41766,tt0085248,movie,The Black Stallion Returns,1983,103,"Adventure,Family"
41823,tt0027349,movie,Bengal Tiger,1936,62,"Action,Adventure,Drama"
41824,tt0027645,movie,Freshman Love,1935,67,"Comedy,Musical"
41825,tt0027936,movie,Man Hunt,1936,60,Drama
41826,tt0028601,movie,Bad Guy,1937,69,"Crime,Drama"
41827,tt0028688,movie,The Captain's Kid,1936,72,"Adventure,Comedy,Drama"
41828,tt0030501,movie,The Night Hawk,1938,63,"Crime,Drama"
41829,tt0030532,movie,Orphans of the Street,1938,64,"Adventure,Comedy,Drama"
41830,tt0030627,movie,Prison Nurse,1938,67,"Drama,Film-Noir"
41831,tt0031132,movie,Calling All Marines,1939,67,"Action,Drama"
41832,tt0031941,movie,Smuggled Cargo,1939,62,Drama
