,nconst,director,primaryName,birthYear,tconst,category,primaryTitle,runtimeMinutes,genres,mpaarating,rlsdt_dt,startYear,rlsdt_mo,rlsdt_day,rlsdt_daynm,budget_adj,worldwide_adj,ROI,averageRating,numVotes,_merge,age
206,nm0000229,director,Steven Spielberg,1946.0,tt0073195,director,Jaws,124.0,"Adventure,Thriller",PG,1975-06-20,1975.0,6.0,20.0,Friday,7000000.0,471411300.0,66.34447142857142,8.1,577395.0,both,29.0
207,nm0000229,director,Steven Spielberg,1946.0,tt0075860,director,Close Encounters of the Third Kind,138.0,"Drama,Sci-Fi",PG,1977-12-14,1977.0,12.0,14.0,Wednesday,20000000.0,306889114.0,14.3444557,7.6,196979.0,both,31.0
208,nm0000229,director,Steven Spielberg,1946.0,tt0078723,director,1941,118.0,"Action,Comedy,War",PG,1979-12-14,1979.0,12.0,14.0,Friday,35000000.0,92455742.0,1.6415926285714286,5.8,33232.0,both,33.0
209,nm0000229,director,Steven Spielberg,1946.0,tt0082971,director,Indiana Jones and the Raiders of the Lost Ark,115.0,"Action,Adventure",PG,1981-06-12,1981.0,6.0,12.0,Friday,18000000.0,389925971.0,20.662553944444443,8.4,938031.0,both,35.0
210,nm0000229,director,Steven Spielberg,1946.0,tt0083866,director,E.T. the Extra-Terrestrial,115.0,"Adventure,Family,Sci-Fi",PG,1982-06-11,1982.0,6.0,11.0,Friday,10500000.0,792910554.0,74.51529085714286,7.9,396397.0,both,36.0
211,nm0000229,director,Steven Spielberg,1946.0,tt0086491,director,Twilight Zone: The Movie,101.0,"Horror,Sci-Fi",PG,1983-06-24,1983.0,6.0,24.0,Friday,10000000.0,29450919.0,1.9450919,6.4,37314.0,both,37.0
212,nm0000229,director,Steven Spielberg,1946.0,tt0087469,director,Indiana Jones and the Temple of Doom,118.0,"Action,Adventure",PG,1984-05-23,1984.0,5.0,23.0,Wednesday,28000000.0,333107271.0,10.89668825,7.5,475269.0,both,38.0
213,nm0000229,director,Steven Spielberg,1946.0,tt0088939,director,The Color Purple,154.0,Drama,PG-13,1986-02-07,1985.0,2.0,7.0,Friday,15000000.0,98467863.0,5.5645242,7.7,84770.0,both,39.0
214,nm0000229,director,Steven Spielberg,1946.0,tt0092965,director,Empire of the Sun,153.0,"Drama,History,War",PG,1987-12-25,1987.0,12.0,25.0,Friday,35000000.0,22238696.0,-0.3646086857142857,7.7,123197.0,both,41.0
215,nm0000229,director,Steven Spielberg,1946.0,tt0096794,director,Always,122.0,"Drama,Fantasy,Romance",PG,1989-12-22,1989.0,12.0,22.0,Friday,31000000.0,74134790.0,1.3914448387096774,6.4,29733.0,both,43.0
216,nm0000229,director,Steven Spielberg,1946.0,tt0097576,director,Indiana Jones and the Last Crusade,127.0,"Action,Adventure",PG-13,1989-05-24,1989.0,5.0,24.0,Wednesday,48000000.0,474171806.0,8.878579291666666,8.3,733825.0,both,43.0
218,nm0000229,director,Steven Spielberg,1946.0,tt0102057,director,Hook,142.0,"Adventure,Comedy,Family",PG,1991-12-11,1991.0,12.0,11.0,Wednesday,70000000.0,300854823.0,3.297926042857142,6.8,248832.0,both,45.0
219,nm0000229,director,Steven Spielberg,1946.0,tt0107290,director,Jurassic Park,127.0,"Action,Adventure,Sci-Fi",PG-13,1993-06-11,1993.0,6.0,11.0,Friday,63000000.0,1099428303.0,16.451242904761905,8.2,938081.0,both,47.0
220,nm0000229,director,Steven Spielberg,1946.0,tt0108052,director,Schindler's List,195.0,"Biography,Drama,History",R,1994-02-04,1993.0,2.0,4.0,Friday,22000000.0,322161245.0,13.643692954545454,9.0,1306342.0,both,47.0
221,nm0000229,director,Steven Spielberg,1946.0,tt0118607,director,Amistad,155.0,"Biography,Drama,History",R,1997-12-25,1997.0,12.0,25.0,Thursday,36000000.0,44229441.0,0.2285955833333333,7.3,75676.0,both,51.0
222,nm0000229,director,Steven Spielberg,1946.0,tt0119567,director,The Lost World: Jurassic Park,129.0,"Action,Adventure,Sci-Fi",PG-13,1997-05-23,1997.0,5.0,23.0,Friday,73000000.0,618638999.0,7.474506835616438,6.5,403604.0,both,51.0
223,nm0000229,director,Steven Spielberg,1946.0,tt0120815,director,Saving Private Ryan,169.0,"Drama,War",R,1998-07-24,1998.0,7.0,24.0,Friday,70000000.0,482349603.0,5.890708614285714,8.6,1335390.0,both,52.0
225,nm0000229,director,Steven Spielberg,1946.0,tt0181689,director,Minority Report,145.0,"Action,Crime,Mystery",PG-13,2002-06-21,2002.0,6.0,21.0,Friday,102000000.0,358372926.0,2.5134600588235294,7.7,537384.0,both,56.0
226,nm0000229,director,Steven Spielberg,1946.0,tt0212720,director,A.I. Artificial Intelligence,146.0,"Drama,Sci-Fi",PG-13,2001-06-29,2001.0,6.0,29.0,Friday,100000000.0,235926552.0,1.35926552,7.2,302863.0,both,55.0
229,nm0000229,director,Steven Spielberg,1946.0,tt0264464,director,Catch Me If You Can,141.0,"Biography,Crime,Drama",PG-13,2002-12-25,2002.0,12.0,25.0,Wednesday,52000000.0,352114312.0,5.771429076923077,8.1,928317.0,both,56.0
231,nm0000229,director,Steven Spielberg,1946.0,tt0362227,director,The Terminal,128.0,"Comedy,Drama,Romance",PG-13,2004-06-18,2004.0,6.0,18.0,Friday,60000000.0,219100084.0,2.6516680666666668,7.4,443756.0,both,58.0
232,nm0000229,director,Steven Spielberg,1946.0,tt0367882,director,Indiana Jones and the Kingdom of the Crystal Skull,122.0,"Action,Adventure",PG-13,2008-05-22,2008.0,5.0,22.0,Thursday,185000000.0,790653942.0,3.273805091891892,6.2,445643.0,both,62.0
233,nm0000229,director,Steven Spielberg,1946.0,tt0407304,director,War of the Worlds,116.0,"Action,Adventure,Sci-Fi",PG-13,2005-06-29,2005.0,6.0,29.0,Wednesday,132000000.0,603873119.0,3.574796356060606,6.5,437119.0,both,59.0
234,nm0000229,director,Steven Spielberg,1946.0,tt0408306,director,Munich,164.0,"Action,Drama,History",R,2006-01-06,2005.0,1.0,6.0,Friday,70000000.0,130982129.0,0.8711732714285715,7.5,223609.0,both,59.0
235,nm0000229,director,Steven Spielberg,1946.0,tt0443272,director,Lincoln,150.0,"Biography,Drama,History",PG-13,2012-11-16,2012.0,11.0,16.0,Friday,65000000.0,275293450.0,3.235283846153846,7.3,256861.0,both,66.0
243,nm0000229,director,Steven Spielberg,1946.0,tt0983193,director,The Adventures of Tintin,107.0,"Action,Adventure,Animation",PG,2011-12-21,2011.0,12.0,21.0,Wednesday,135000000.0,373993951.0,1.770325562962963,7.3,227399.0,both,65.0
246,nm0000229,director,Steven Spielberg,1946.0,tt1568911,director,War Horse,146.0,"Action,Adventure,Drama",PG-13,2011-12-25,2011.0,12.0,25.0,Sunday,66000000.0,177584879.0,1.6906799848484848,7.2,154878.0,both,65.0
248,nm0000229,director,Steven Spielberg,1946.0,tt1677720,director,Ready Player One,140.0,"Action,Adventure,Sci-Fi",PG-13,2018-03-29,2018.0,3.0,29.0,Thursday,175000000.0,582918849.0,2.3309648514285715,7.4,416703.0,both,72.0
