,nconst,writer,primaryName,birthYear,tconst,category,primaryTitle,runtimeMinutes,genres,mpaarating,rlsdt_dt,startYear,rlsdt_mo,rlsdt_day,rlsdt_daynm,budget_adj,worldwide_adj,ROI,averageRating,numVotes,_merge,age
52656,nm0864435,writer,David N. Titcher,,tt0327437,writer,Around the World in 80 Days,120.0,"Action,Adventure,Comedy",PG,2004-06-16,2004.0,6.0,16.0,Wednesday,110000000.0,72178895.0,-0.3438282272727272,5.8,88987.0,both,
52681,nm0864547,writer,Eve Titus,1922.0,tt0126189,writer,Alice of Wonderland in Paris,52.0,"Animation,Fantasy",G,1966-02-05,1966.0,2.0,5.0,Saturday,0.0,0.0,,4.9,178.0,both,44.0
52684,nm0866572,writer,Maurice Tombragel,1913.0,tt0031562,writer,Legion of Lost Flyers,63.0,Drama,Approved,1939-11-03,1939.0,11.0,3.0,Friday,0.0,0.0,,5.6,43.0,both,26.0
52685,nm0866572,writer,Maurice Tombragel,1913.0,tt0032057,writer,Tropic Fury,62.0,Drama,Passed,1939-09-01,1939.0,9.0,1.0,Friday,0.0,0.0,,4.0,33.0,both,26.0
52686,nm0866572,writer,Maurice Tombragel,1913.0,tt0032380,writer,Danger on Wheels,61.0,"Sport,Thriller",Approved,1940-02-02,1940.0,2.0,2.0,Friday,0.0,0.0,,5.3,61.0,both,27.0
52687,nm0866572,writer,Maurice Tombragel,1913.0,tt0032608,writer,Hot Steel,64.0,"Drama,Mystery",Approved,1940-05-24,1940.0,5.0,24.0,Friday,0.0,0.0,,4.5,20.0,both,27.0
52688,nm0866572,writer,Maurice Tombragel,1913.0,tt0033294,writer,Zanzibar,70.0,Adventure,Approved,1940-03-08,1940.0,3.0,8.0,Friday,0.0,0.0,,5.7,40.0,both,27.0
52689,nm0866572,writer,Maurice Tombragel,1913.0,tt0033728,writer,Horror Island,60.0,"Comedy,Mystery,Thriller",Passed,1941-03-28,1941.0,3.0,28.0,Friday,93000.0,0.0,-1.0,6.0,814.0,both,28.0
52690,nm0866572,writer,Maurice Tombragel,1913.0,tt0033903,writer,Men of the Timberland,61.0,"Action,Adventure,Crime",Approved,1941-05-01,1941.0,5.0,1.0,Thursday,0.0,0.0,,5.3,32.0,both,28.0
52691,nm0866572,writer,Maurice Tombragel,1913.0,tt0033930,writer,Mutiny in the Arctic,64.0,Drama,Passed,1941-04-17,1941.0,4.0,17.0,Thursday,0.0,0.0,,5.9,36.0,both,28.0
52692,nm0866572,writer,Maurice Tombragel,1913.0,tt0034081,writer,Raiders of the Desert,60.0,"Action,Adventure,Comedy",Approved,1941-07-18,1941.0,7.0,18.0,Friday,0.0,0.0,,5.0,47.0,both,28.0
52693,nm0866572,writer,Maurice Tombragel,1913.0,tt0034114,writer,Road Agent,60.0,Western,Approved,1941-12-19,1941.0,12.0,19.0,Friday,0.0,0.0,,6.0,23.0,both,28.0
52694,nm0866572,writer,Maurice Tombragel,1913.0,tt0034633,writer,Danger in the Pacific,60.0,"Action,Adventure,Romance",Approved,1942-06-10,1942.0,6.0,10.0,Wednesday,0.0,0.0,,5.2,31.0,both,29.0
52695,nm0866572,writer,Maurice Tombragel,1913.0,tt0035378,writer,Stand by All Networks,65.0,"Drama,Mystery,Romance",Passed,1942-10-29,1942.0,10.0,29.0,Thursday,0.0,0.0,,5.6,76.0,both,29.0
52697,nm0866572,writer,Maurice Tombragel,1913.0,tt0036466,writer,Two Señoritas from Chicago,68.0,Musical,Approved,1943-06-10,1943.0,6.0,10.0,Thursday,0.0,0.0,,7.0,20.0,both,30.0
52698,nm0866572,writer,Maurice Tombragel,1913.0,tt0036878,writer,The Great Alaskan Mystery,223.0,"Action,Adventure,Drama",Passed,1944-04-25,1944.0,4.0,25.0,Tuesday,0.0,0.0,,6.5,81.0,both,31.0
52699,nm0866572,writer,Maurice Tombragel,1913.0,tt0037105,writer,Music in Manhattan,81.0,"Musical,Romance",Approved,1945-08-20,1944.0,8.0,20.0,Monday,0.0,0.0,,5.9,161.0,both,31.0
52700,nm0866572,writer,Maurice Tombragel,1913.0,tt0037114,writer,Mystery of the River Boat,218.0,"Action,Adventure,Crime",Passed,1944-10-24,1944.0,10.0,24.0,Tuesday,0.0,0.0,,6.8,58.0,both,31.0
