US Release,Other Release Date,Title,Co-production companies,Category,Direct to video or streaming exclusive Disney+,Premium video on demand release through Disney+,Simultaneous release to theatres and on premium video on demand,non-US Film,Notes
2000,,Dinosaur,,Animated feature,,,,,
2000,,The Kid,,Live Action,,,,,
2000,,Remember the Titans,Jerry Bruckheimer Films,Live Action,,,,,
2000,,102 Dalmatians,,Live Action,,,,,
2000,,The Emperor's New Groove,,Animated feature,,,,,
2001,,Recess: School's Out,,Animated feature,,,,,
2001,,Atlantis: The Lost Empire,,Animated feature,,,,,
2001,,The Princess Diaries,,Live Action,,,,,
2001,,Max Keeble's Big Move,,Live Action,,,,,
2001,,"Monsters, Inc.",Pixar Animation Studios,Animated feature,,,,,
2002,,Snow Dogs,Kerner,Live Action,,,,,
2002,,Return to Never Land,,Animated feature,,,,,
2002,,The Rookie,,Live Action,,,,,
2002,,Lilo & Stitch,,Animated feature,,,,,
2002,,The Country Bears,Gunn Films,Combines animation and live action,,,,,
2002,,Tuck Everlasting,,Live Action,,,,,
2002,,Treasure Planet,,Animated feature,,,,,
2003,,The Jungle Book 2,,Animated feature,,,,,
2003,,Piglet's Big Movie,,Animated feature,,,,,
2003,,Ghosts of the Abyss,Walden Media,Documentary,,,,,
2003,,Holes,Walden Media,Live Action,,,,,
2003,,Finding Nemo,Pixar Animation Studios,Animated feature,,,,,
2003,,Pirates of the Caribbean: The Curse of the Black Pearl,Jerry Bruckheimer Films,Live Action,,,,,
2003,,Freaky Friday,Gunn Films,Live Action,,,,,
2003,,The Lizzie McGuire Movie,,Live Action,,,,,
2003,,Brother Bear,,Animated feature,,,,,
2003,,The Haunted Mansion,Gunn Films,Live Action,,,,,
2003,,The Young Black Stallion,The Kennedy/Marshall Company,Live Action,,,,,
2004,,Teacher's Pet,,Animated feature,,,,,
2004,,Miracle,,Live Action,,,,,
2004,,Confessions of a Teenage Drama Queen,,Live Action,,,,,
2004,,Home on the Range,,Animated feature,,,,,
2004,,Sacred Planet,,Documentary,,,,,
2004,,America's Heart and Soul,Blacklight Films,Documentary,,,,,
2004,,Around the World in 80 Days,Walden Media,Live Action,,,,,
2004,,The Princess Diaries 2: Royal Engagement,,Live Action,,,,,
2004,,National Treasure,Jerry Bruckheimer Films,Live Action,,,,,
2005,,Aliens of the Deep,Walden Media,Documentary,,,,,
